,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
34,Mecânica James Multimarcas,ChIJO9rTC0i-uZQRO1G3gKR2JK8,-21.1533063,-47.8129762,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
35,Auto Service Mecânica Irmãos Idelfonso,ChIJ5SPpMgq_uZQRkmXao6ynFaE,-21.1814191,-47.8340972,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
36,Auto mecânica soares mendes,ChIJBVLgrC-_uZQRkAyuxRAsD_0,-21.1555191,-47.7997773,0.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
37,Orion Mecânica e Oficina Automotiva,ChIJNfsrNB7BuZQRpXpYLtC93aQ,-21.1761612,-47.7601077,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
38,Sukinha Auto Mecânica,ChIJWaSVEmaVuZQRFrNx1TNMGHI,-21.1169522,-47.7877071,4.6,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
39,Auto Mecânica Bonfim,ChIJRf5r0hS-uZQRDpmKFmdsye8,-21.15613,-47.82605400000001,4.6,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
40,Auto Mechanics Vieira,ChIJI-dFLtC_uZQRFK2-m5cme5o,-21.1372749,-47.7943903,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
41,Arco-íris Centro Automotivo Mecânica em Geral,ChIJCaTcwj69uZQRjp_gLlO9LyE,-21.1969657,-47.8490093,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
42,Auto Mecânica Martins,ChIJa2imJ9-VuZQR5aEA81mGI2g,-21.1229708,-47.82390179999999,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
43,Cn Oficina Mecânica,ChIJAaY83Vu_uZQRwUujuXcBkK4,-21.1840134,-47.768851,4.1,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
44,OtmaCar Oficina Mecânica,ChIJR-45G1e_uZQRp_0-2iuMPgI,-21.1666083,-47.8000087,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
45,Mecânica MP Auto Center,ChIJc6WMiEy_uZQRAg3miKl9XUw,-21.1672897,-47.802555,5.0,"['car_repair', 'point_of_interest', 'store', 'establishment']",,,,,,
46,Trevilato Mecânica,ChIJz6PbJQC5uZQRijsU29u82gs,-21.2081667,-47.8012144,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
47,Mecânica Zancanella,ChIJJXbXikO-uZQRr0pqx4AeaaY,-21.1601891,-47.8182614,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
48,Auto Mecânica Avelino,ChIJO6r6vg6_uZQRADXghgG4bKM,-21.1703884,-47.7895187,0.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
49,Auto Mecânica Paulo,ChIJ5-Ddb629uZQRbFneDshQC5Q,-21.1974183,-47.8486318,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
50,Presence Mecânica Automotiva,ChIJLcPsgTy_uZQRQchqQ1qGzDw,-21.1954896,-47.7740109,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",,,,,,
51,Uzicar Auto Mecânica,ChIJj_N8PZy9uZQR6FVbrvXVv1o,-21.2014906,-47.8532516,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
52,AUTO MECÂNICA LUTH CAR SERVICE,ChIJRZx7O6q_uZQRdC4POFV4Gf4,-21.1921359,-47.82786369999999,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
53,Mecânica José de Paula,ChIJ2_V48Eq_uZQRvk4pmtDOE9E,-21.1638693,-47.8340541,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
54,Confiance Mecânica Automotiva,ChIJ2z4sJPK-uZQRvvgY5RjPU9w,-21.1850198,-47.818834,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
55,Auto Mecânica Carol,ChIJf1tULLS_uZQRhXK-aZdSxVs,-21.1506476,-47.798744,0.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
56,Auto mecânica Ebenézer,ChIJhSaYg16VuZQRwm7ItBNOmqE,-21.1220804,-47.8252146,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
57,Ungaretti Mecânica Multimarcas,ChIJY-y5pRe_uZQRgZsdrO33uy8,-21.1747055,-47.8042707,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
58,Auto Mecânica Multimarcas,ChIJ4TpBBVa-uZQRXUDdn4qhExo,-21.1699715,-47.8087727,1.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
59,Bubina Auto Mecânica,ChIJbTcCpmW_uZQR8WNeYMsZLo8,-21.1627827,-47.83675969999999,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
