,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
30,Emporium Chico´s Mineiro,ChIJc8G1mueVuZQR2ILUIeKb0es,-21.1307008,-47.8167351,4.8,"['meal_takeaway', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",,,,,,
31,EMPÓRIO BELA FAZENDA,ChIJCYPvoxW_uZQRkdVkXOzxW88,-21.1912782,-47.7877862,4.9,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",,,,,,
32,Empório R&E Comida de Boteco,ChIJsfozz-KVuZQR33ZT6syN40M,-21.1316522,-47.841181,4.6,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",,,,,,
33,Palo Santo Empório e Café - Tabua de Frios,ChIJ8cNeGmm_uZQR64A1LbyDdRc,-21.1837358,-47.7987261,5.0,"['cafe', 'grocery_or_supermarket', 'health', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",,,,,,
34,Supermercado empório real,ChIJ66zYCf-VuZQRujlkewrFhVE,-21.1016753,-47.8279116,4.9,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",,,,,,
35,Empório São Cristóvão,ChIJfStoWdi5uZQRHatlO__VijA,-21.2115583,-47.7957986,4.5,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",,,,,,
36,Emporium do Queijo,ChIJtTnRlkq5uZQRglpBmQ8E32U,-21.2147295,-47.8231162,4.5,"['store', 'point_of_interest', 'establishment']",,,,,,
37,Empório 290,ChIJ97qUyxy-uZQRky3sWS5CVDE,-21.1425195,-47.832623,4.8,"['pet_store', 'point_of_interest', 'store', 'establishment']",,,,,,
38,Empório Santa Angela,ChIJjR6mRTS_uZQR1haIXdDYbYU,-21.2077951,-47.8060188,4.5,"['restaurant', 'grocery_or_supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",Empório Santa Angela,(16) 99132-0670,"R. do Prof., 715 - Jardim Irajá, Ribeirão Preto - SP, 14020-280, Brazil",3.0,4.5,http://www.emporiosantaangela.com.br/
39,Empório Miretto,ChIJZ57Nd6-_uZQREg7t3I_WIQ4,-21.1788403,-47.7966785,5.0,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",,,,,,
40,Empório Vila do Príncipe,ChIJbSxAyXm_uZQRKygO9VO96MY,-21.1816608,-47.833797,0.0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
41,Empório Real,ChIJiRCkrQK-uZQRhgjLVd1QWLw,-21.139762,-47.832956,4.8,"['point_of_interest', 'establishment']",,,,,,
42,Empório Masculino,ChIJ9WV8Jhi8uZQRPFrkHPA8SYE,-21.2046208,-47.8523275,0.0,"['clothing_store', 'store', 'point_of_interest', 'establishment']",,,,,,
43,Empório Sabor Uai,ChIJiTLqo4G_uZQRDCs_5cc5nGo,-21.1152362,-47.8303282,5.0,"['food', 'store', 'point_of_interest', 'health', 'establishment']",,,,,,
44,Empório Chilli Pepper's,ChIJ3wqTpT2_uZQRopNNWznzceQ,-21.1573657,-47.8206709,0.0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
45,Empório City,ChIJ_cQogFGmyygR9Bq5Nz3sILo,-21.2160992,-47.7827651,0.0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'health', 'establishment']",,,,,,
46,Empório Do Jeans,ChIJoZcucxe_uZQRmhNxUnmwVZU,-21.1817575,-47.79216359999999,0.0,"['clothing_store', 'store', 'point_of_interest', 'establishment']",,,,,,
47,Empório são matheus,ChIJ52IJ5KWXuZQRIwhUQLNLBTY,-21.1396326,-47.8583487,5.0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
48,O Tal do Empório,ChIJV_A-PW2-uZQRnHE9ZCkuVWA,-21.1590036,-47.8310883,3.8,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
49,Empório Burguer RP,ChIJ4aIq5wyVuZQRA2CY1tMvWsE,-21.1150644,-47.7963457,4.8,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
50,Empório Casa do Norte Mandacaru,ChIJ-yJkv4-_uZQRjNKpt-u9rXU,-21.1973121,-47.8423009,4.8,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
51,Massas Queijos Doces e Vinhos Empório Rissi Jardim Palmares,ChIJ16HP2kHBuZQR6X-jwE6_8hc,-21.1757122,-47.7612509,5.0,"['grocery_or_supermarket', 'bar', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
52,Empório Dona Ofélia,ChIJowr_jOu_uZQRT4jD0Bj-Iwo,-21.169398,-47.8186359,5.0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
53,Empório Meg,ChIJyf2zM33HuZQRyVRPWSU-KDw,-21.2172101,-47.7623146,0.0,"['food', 'store', 'point_of_interest', 'health', 'establishment']",,,,,,
54,RESTAURANTE EMPÓRIO,ChIJX5QVEFW5uZQRu7dUXc3g3tc,-21.1988669,-47.7708171,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,,
55,Uno Empório,ChIJA3Bj97G_uZQR29SsHOgjcdo,-21.1933396,-47.8117917,3.2,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
56,Empório Tartufo - Alta Gastronomia Congelada,ChIJ5W2Rb_G_uZQRB63k6pLlLlI,-21.2026871,-47.811873,4.7,"['food', 'store', 'point_of_interest', 'establishment']",,,,,,
57,Empório Queijos & Massas,ChIJyZtXe2i_uZQRghz1BuT9NyM,-21.1518848,-47.78621,0.0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
58,Empório Idina,ChIJgUgjA0e_uZQR_wuNgTLJjfU,-21.1994433,-47.8040993,0.0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",,,,,,
59,Empório Galo (Mercadão Central),ChIJ_Yp8Bu2_uZQRZ9A7bv9RWNo,-21.173979,-47.812887,5.0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'health', 'establishment']",,,,,,
