,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
31,Casa De Carnes MM,ChIJsXzcVq7AuZQRG6CAg-CiywE,-21.1859983,-47.7559256,4.7,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
32,Casa de Carnes Macedo,ChIJKzohW0-VuZQR0Ajerc2hmJo,-21.1152252,-47.7881668,0.0,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
33,Casa de Carnes Primus,ChIJYwKhX7mVuZQR-OkxDJEIq6k,-21.1287993,-47.8120664,5.0,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
34,F R Miranda Carnes e Derivados,ChIJiTcchji-uZQRRZb52wJ6u_Q,-21.1526394,-47.8158628,3.0,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
35,Casa de Carnes da Villa,ChIJqdpyro--uZQRCQuZu-FyR-I,-21.1849188,-47.8306776,5.0,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
36,Boi Brabo - O Shopping da Carne,ChIJnSJsQJe_uZQRZAKtQLEdGBQ,-21.1846112,-47.8039551,4.7,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
37,S/A Premium Casa de Carnes Nobres,ChIJ5wwLVKG5uZQRjJIjhJV_JEA,-21.2565002,-47.81836759999999,4.6,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
38,casa de carnes VICTALIANO,ChIJN_Zig0m_uZQRyaUsK_IyQAM,-21.1951845,-47.7813143,0.0,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
39,Casa de Carnes Santa Rita,ChIJPwfMe6y_uZQR-zEEWjU-uAo,-21.1626932,-47.80036399999999,4.8,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
40,Casa de carnes Empocarnes,ChIJye7ESmDHuZQRO55oRjlbnSE,-21.1907596,-47.7407447,5.0,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
41,BJ Açougue e Churrasco,ChIJa4TV3E65uZQRxm4IpLtZmV0,-21.2216882,-47.8289474,4.9,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
