,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
33,Arco-íris Centro Automotivo Mecânica em Geral,ChIJCaTcwj69uZQRjp_gLlO9LyE,-21.1969657,-47.8490093,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
34,Well Car Centro Automotivo,ChIJj693DKu_uZQRlkEFPMs1MRU,-21.1779022,-47.7783818,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
35,Dumont Car Mecânica e Centro Automotivo,ChIJNW7saYu-uZQRg773EG_swKk,-21.1789404,-47.8237434,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
36,MD Som e acessórios automotivo,ChIJkZs5r5bAuZQR58cwmB3J5Rc,-21.1674934,-47.7484787,4.3,"['electronics_store', 'store', 'car_repair', 'point_of_interest', 'establishment']",,,,,,
37,De Lucca Centro Automotivo,ChIJVaq0a6K_uZQRipDQqp_xf4k,-21.156583,-47.7844661,4.2,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
38,FENIX CENTRO AUTOMOTIVO - LOJA 5,ChIJ7dtJcZi_uZQRIDieqIacQk4,-21.1629531,-47.8173717,3.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
39,Limas Centro Automotivo,ChIJbXhfmNLBuZQR2bP6BpNTWRk,-21.1621333,-47.737272,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
40,3B Centro Automotivo,ChIJXarq6ga_uZQRf0-7HnsG6Ck,-21.1659277,-47.8261697,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
41,LR Centro Automotivo,ChIJB-XMyua_uZQRKZIwYQA42lE,-21.1407778,-47.825262,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
42,Ts Centro Automotivo,ChIJFezpkey_uZQRsobMdhrkDII,-21.180562,-47.8381994,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
43,Poliservice Centro Automotivo,ChIJI0DXKf--uZQRGMMaBUizS7c,-21.1723407,-47.8076938,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
44,Ribeirao Automotivo,ChIJT2aWUj-XuZQRKMLG2CFtHQ4,-21.1380531,-47.8459471,3.0,"['electronics_store', 'car_repair', 'store', 'point_of_interest', 'establishment']",,,,,,
45,Lotus Centro Automotivo,ChIJ-czpahy_uZQRuY9LCKFXh0c,-21.1784635,-47.800849,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
46,Centro Automotivo Bem Amigos,ChIJlYJ2PLe_uZQR0MoRrrJ2Ld8,-21.1508011,-47.79497749999999,4.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
47,PRIME Service Centro Automotivo RP,ChIJ9b9xKGa_uZQRreMHzKqaYQ0,-21.2020438,-47.8004397,4.9,"['car_repair', 'store', 'point_of_interest', 'establishment']",,,,,,
48,Visual Automotiva,ChIJvaICoq-_uZQRlJJG5iWcHAs,-21.1807116,-47.7865341,4.7,"['store', 'point_of_interest', 'establishment']",,,,,,
49,ÊXODO AUTO MECÂNICA - Centro Automotivo,ChIJBb5ETbG_uZQRv-9bO4WmkwM,-21.1526308,-47.7976336,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
50,Laércio Pereira Centro Automotivo,ChIJz0QAjS--uZQRQAJuXPXBfrU,-21.1415216,-47.8126296,4.3,"['car_repair', 'store', 'point_of_interest', 'establishment']",,,,,,
51,Centro Automotivo Porto Seguro,ChIJmWDlSSa_uZQRsfC9LS6ZC3c,-21.1956489,-47.8003772,4.5,"['car_repair', 'insurance_agency', 'store', 'point_of_interest', 'establishment']",,,,,,
52,Centro automotivo J.S,ChIJqTbqSmKVuZQR6KUD35RA7wU,-21.1194673,-47.7833728,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
53,MBP AUTOMOTIVA LTDA,ChIJt-zNXC2_uZQRsHw7zbB6ssM,-21.2033415,-47.7941009,4.6,"['car_repair', 'general_contractor', 'store', 'point_of_interest', 'establishment']",,,,,,
54,Falco Centro Automotivo,ChIJ6yvhwvG_uZQR-f9iK43PEWk,-21.1697874,-47.8078514,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
55,Centro automotivo Stock Car Service,ChIJe3yh0vi_uZQRshVuiOMMLGk,-21.1519949,-47.824642,0.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
56,PLZ Automotive Products Services,ChIJxUsQlVO-uZQRnCn-Kr69lHw,-21.1639925,-47.8068638,4.4,"['car_repair', 'store', 'point_of_interest', 'establishment']",,,,,,
57,CENTRO TÉCNICO AUTOMOTIVO DEDÉ,ChIJ4ScFv1a-uZQRL7ZQgNrJKoo,-21.166756,-47.8092657,0.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
58,Rard Car Centro Automotivo,ChIJC5jwSlK-uZQRFs3QYqXAtLo,-21.1608346,-47.80081029999999,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
59,Douglas car reparaçao automotiva,ChIJNwb0XK7BuZQRTakIAQ9J4gU,-21.1836831,-47.7334099,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
